"filename", "language", "XML", "PlantUML", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\concise\Concise_Andr_UML_1.puml", "PlantUML", 0, 18, 0, 0, 0, 5, 23
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\concise\Concise_Andr_UML_2.puml", "PlantUML", 0, 25, 0, 0, 0, 5, 30
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\concise\Concise_Andr_UML_3.puml", "PlantUML", 0, 19, 0, 0, 0, 4, 23
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\concise\Concise_Andr_UML_4.puml", "PlantUML", 0, 12, 0, 0, 0, 2, 14
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\concise\Concise_Andr_UML_5.puml", "PlantUML", 0, 17, 0, 0, 0, 4, 21
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\AccountFragment.puml", "PlantUML", 0, 16, 0, 0, 0, 0, 16
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\HistoryFragment.puml", "PlantUML", 0, 13, 0, 0, 0, 0, 13
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\HomeActivity.puml", "PlantUML", 0, 8, 0, 0, 0, 0, 8
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\LoginActivity.puml", "PlantUML", 0, 11, 0, 0, 0, 0, 11
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\OptimizedRoute.puml", "PlantUML", 0, 13, 0, 0, 0, 0, 13
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RESTCommunicationHelper.puml", "PlantUML", 0, 6, 0, 0, 0, 0, 6
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RoutePreview.puml", "PlantUML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RouteRequestObject.puml", "PlantUML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RouteSetupActivity.puml", "PlantUML", 0, 21, 0, 0, 0, 0, 21
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunDataPoint.puml", "PlantUML", 0, 22, 0, 0, 0, 0, 22
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunDataSummary.puml", "PlantUML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunFragment.puml", "PlantUML", 0, 8, 0, 0, 0, 0, 8
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunHistoryAdapter.puml", "PlantUML", 0, 11, 0, 0, 0, 0, 11
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunPointsUpdateRequestObject.puml", "PlantUML", 0, 12, 0, 0, 0, 0, 12
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunRecordingActivity.puml", "PlantUML", 0, 33, 0, 0, 0, 0, 33
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunSession.puml", "PlantUML", 0, 24, 0, 0, 0, 0, 24
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunStatisticsActivity.puml", "PlantUML", 0, 18, 0, 0, 0, 0, 18
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunStatus.puml", "PlantUML", 0, 6, 0, 0, 0, 0, 6
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunTrackingService.puml", "PlantUML", 0, 47, 0, 0, 0, 0, 47
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunViewHolder.puml", "PlantUML", 0, 16, 0, 0, 0, 0, 16
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\SelectedRunHolder.puml", "PlantUML", 0, 8, 0, 0, 0, 0, 8
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\ServerEndpointsAPI.puml", "PlantUML", 0, 12, 0, 0, 0, 0, 12
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\SignupActivity.puml", "PlantUML", 0, 16, 0, 0, 0, 0, 16
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\SplashActivity.puml", "PlantUML", 0, 8, 0, 0, 0, 0, 8
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\UIHelper.puml", "PlantUML", 0, 5, 0, 0, 0, 0, 5
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\User.puml", "PlantUML", 0, 27, 0, 0, 0, 0, 27
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\UserManager.puml", "PlantUML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\Waypoint.puml", "PlantUML", 0, 16, 0, 0, 0, 0, 16
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\concise\ConciseProjUML_1.puml", "PlantUML", 0, 34, 0, 0, 0, 2, 36
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\concise\ConciseProjUML_2.puml", "PlantUML", 0, 21, 0, 0, 0, 2, 23
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\concise\ConciseProjUML_3.puml", "PlantUML", 0, 44, 0, 0, 0, 2, 46
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\concise\ConciseProjUML_4.puml", "PlantUML", 0, 17, 0, 0, 0, 2, 19
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\Candidate.puml", "PlantUML", 0, 17, 0, 0, 4, 4, 25
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\DPSOAlgorithmService.puml", "PlantUML", 0, 36, 0, 0, 4, 5, 45
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\DirectionsResponse.puml", "PlantUML", 0, 48, 0, 0, 4, 7, 59
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\DistanceMatrixResponse.puml", "PlantUML", 0, 35, 0, 0, 4, 6, 45
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\GoogleDirectionsClient.puml", "PlantUML", 0, 5, 0, 0, 4, 3, 12
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\GoogleDistanceMatrixClient.puml", "PlantUML", 0, 5, 0, 0, 4, 3, 12
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\GooglePlacesClient.puml", "PlantUML", 0, 5, 0, 0, 4, 3, 12
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\GoogleRoadsClient.puml", "PlantUML", 0, 5, 0, 0, 4, 3, 12
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\LocationCategory.puml", "PlantUML", 0, 20, 0, 0, 4, 3, 27
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\LoginAndSignupController.puml", "PlantUML", 0, 10, 0, 0, 4, 3, 17
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\OptimizedRoute.puml", "PlantUML", 0, 17, 0, 0, 4, 3, 24
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\Particle.puml", "PlantUML", 0, 16, 0, 0, 4, 3, 23
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\PlacesResponse.puml", "PlantUML", 0, 47, 0, 0, 4, 6, 57
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RetrofitConfig.puml", "PlantUML", 0, 11, 0, 0, 4, 3, 18
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RoadsResponse.puml", "PlantUML", 0, 31, 0, 0, 4, 5, 40
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RouteController.puml", "PlantUML", 0, 7, 0, 0, 4, 3, 14
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RouteRequestObject.puml", "PlantUML", 0, 17, 0, 0, 4, 3, 24
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RouteService.puml", "PlantUML", 0, 50, 0, 0, 4, 4, 58
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunDataPoint.puml", "PlantUML", 0, 30, 0, 0, 4, 3, 37
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunDataSummary.puml", "PlantUML", 0, 22, 0, 0, 4, 3, 29
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunPointsUpdateRequestObject.puml", "PlantUML", 0, 11, 0, 0, 4, 3, 18
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunSession.puml", "PlantUML", 0, 25, 0, 0, 4, 3, 32
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunSessionRepository.puml", "PlantUML", 0, 5, 0, 0, 4, 3, 12
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunStatisticsController.puml", "PlantUML", 0, 10, 0, 0, 4, 3, 17
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunStatisticsService.puml", "PlantUML", 0, 11, 0, 0, 4, 3, 18
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunStatus.puml", "PlantUML", 0, 2, 0, 0, 4, 2, 8
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\SparseGraph.puml", "PlantUML", 0, 10, 0, 0, 4, 3, 17
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\User.puml", "PlantUML", 0, 29, 0, 0, 4, 3, 36
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\UserRepository.puml", "PlantUML", 0, 7, 0, 0, 4, 3, 14
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\UserService.puml", "PlantUML", 0, 12, 0, 0, 4, 3, 19
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\Waypoint.puml", "PlantUML", 0, 17, 0, 0, 4, 4, 25
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\sequence-diagrams\GenerateRouteSeqDiagram.puml", "PlantUML", 0, 24, 0, 0, 1, 8, 33
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\sequence-diagrams\LoginSeqDiagram.puml", "PlantUML", 0, 20, 0, 0, 1, 7, 28
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\sequence-diagrams\StartPauseResumeStopSeqDiagram.puml", "PlantUML", 0, 52, 0, 0, 2, 7, 61
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\usecase-diagram\UseCaseDiagram.puml", "PlantUML", 0, 30, 0, 0, 0, 4, 34
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\pom.xml", "XML", 137, 0, 0, 0, 1, 11, 149
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\AppMain.java", "Java", 0, 0, 0, 9, 0, 5, 14
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\controllers\LoginAndSignupController.java", "Java", 0, 0, 0, 52, 2, 12, 66
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\controllers\RouteController.java", "Java", 0, 0, 0, 23, 0, 7, 30
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\controllers\RunStatisticsController.java", "Java", 0, 0, 0, 52, 4, 13, 69
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\Candidate.java", "Java", 0, 0, 0, 30, 1, 8, 39
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\DirectionsResponse.java", "Java", 0, 0, 0, 45, 0, 17, 62
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\DistanceMatrixResponse.java", "Java", 0, 0, 0, 33, 0, 10, 43
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\LocationCategory.java", "Java", 0, 0, 0, 45, 9, 9, 63
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\OptimizedRoute.java", "Java", 0, 0, 0, 49, 0, 19, 68
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\Particle.java", "Java", 0, 0, 0, 37, 0, 10, 47
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\PlacesResponse.java", "Java", 0, 0, 0, 47, 0, 17, 64
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\RoadsResponse.java", "Java", 0, 0, 0, 30, 0, 7, 37
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\RouteRequestObject.java", "Java", 0, 0, 0, 32, 0, 16, 48
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\RunDataPoint.java", "Java", 0, 0, 0, 60, 0, 21, 81
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\RunDataSummary.java", "Java", 0, 0, 0, 47, 0, 8, 55
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\RunPointsUpdateRequestObject.java", "Java", 0, 0, 0, 10, 1, 5, 16
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\RunSession.java", "Java", 0, 0, 0, 60, 2, 23, 85
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\RunStatus.java", "Java", 0, 0, 0, 4, 0, 2, 6
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\SparseGraph.java", "Java", 0, 0, 0, 18, 0, 9, 27
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\User.java", "Java", 0, 0, 0, 43, 2, 14, 59
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\datamodels\Waypoint.java", "Java", 0, 0, 0, 29, 1, 12, 42
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\repositories\RunSessionRepository.java", "Java", 0, 0, 0, 9, 2, 6, 17
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\repositories\UserRepository.java", "Java", 0, 0, 0, 10, 0, 3, 13
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\services\DPSOAlgorithmService.java", "Java", 0, 0, 0, 222, 8, 49, 279
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\services\RouteService.java", "Java", 0, 0, 0, 310, 47, 62, 419
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\services\RunStatisticsService.java", "Java", 0, 0, 0, 88, 9, 28, 125
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\services\UserService.java", "Java", 0, 0, 0, 31, 0, 9, 40
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\utilities\GoogleDirectionsClient.java", "Java", 0, 0, 0, 14, 0, 2, 16
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\utilities\GoogleDistanceMatrixClient.java", "Java", 0, 0, 0, 13, 0, 3, 16
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\utilities\GooglePlacesClient.java", "Java", 0, 0, 0, 14, 1, 4, 19
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\utilities\GoogleRoadsClient.java", "Java", 0, 0, 0, 13, 1, 4, 18
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\java\shaleva\run_app_proj\utilities\RetrofitConfig.java", "Java", 0, 0, 0, 70, 7, 12, 89
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\src\main\resources\application.properties", "Java Properties", 0, 0, 11, 0, 7, 5, 23
"Total", "-", 137, 1343, 11, 1549, 233, 605, 3878